ORF,Gene Name,Molecular Weight (Da),Length (Amino Acids),Protein Abundance (molecules per cell),Protein decay rate (min-1),mRNA Abundance (molecules per cell)
YNL094W,APP1,66134,587,1923,0.01083,0.7
YNL095C,,71195,642,4604,0.008351,0.3
YNL096C,RPS7B,21634,190,46459,0,13.1
YNL097C,PHO23,37024,330,1712,0.014146,1.3
YNL097C-B,,4622,40,,,
YNL097W-A,,5896,51,,,
YNL098C,RAS2,34705,322,16637,0.027726,2.7
YNL099C,OCA1,27205,238,1943,0.016504,2.5
YNL100W,,26960,234,4585,0.005501,3.4
YNL101W,AVT4,80025,713,2273,,0.7
YNL102W,POL1,166808,1468,492,0,0.9
YNL103W,MET4,74301,672,1088,0.077016,0.6
YNL103W-A,,3350,29,,,
YNL104C,LEU4,68408,619,5570,0.016504,2.9
YNL105W,,16168,142,0,,0.7
YNL106C,INP52,133330,1183,1083,0,0.3
YNL107W,YAF9,25981,226,217,0.007534,1.4
YNL108C,,30748,270,1636,0,0.8
YNL109W,,19713,181,1646,,0.5
YNL110C,NOP15,25447,220,3593,0.004472,4.5
YNL111C,CYB5,13297,120,4529,0.009495,2.4
YNL112W,DBP2,60999,546,23720,0.000891,5.9
YNL113W,RPC19,16151,142,7292,0,3.7
YNL114C,,15042,123,0,,0.8
YNL115C,,74038,644,1678,0.000891,0.5
YNL116W,DMA2,57584,522,1467,0.030137,0.2
YNL117W,MLS1,62791,554,0,,0.2
YNL118C,DCP2,108666,970,7163,0.019254,0.9
YNL119W,NCS2,56472,493,1500,0.013591,1.9
YNL120C,,17913,161,0,,1
YNL121C,TOM70,70122,617,38043,0.023902,1.4
YNL122C,,13244,115,4023,0,1.2
YNL123W,NMA111,110880,997,2645,0.009627,1.1
YNL124W,NAF1,54949,492,1520,0.008453,1.2
YNL125C,ESBP6,73801,673,4259,0.000891,0.9
YNL126W,SPC98,98226,846,48,0.021661,0.3
YNL127W,FAR11,109792,953,594,0.008252,0.3
YNL128W,TEP1,50152,434,,,
YNL129W,NRK1,27689,240,1225,0,1.1
YNL130C,CPT1,44829,393,824,0.017773,2.1
YNL130C-A,,5609,48,,,
YNL131W,TOM22,16790,152,5550,0,3.1
YNL132W,KRE33,119346,1056,3771,,1.1
YNL133C,FYV6,20025,173,393,0.036481,0.6
YNL134C,,41164,376,2929,0.006665,5.9
YNL135C,FPR1,12158,114,33005,0.003536,22.1
YNL136W,EAF7,49391,425,252,0.063013,0.7
YNL137C,NAM9,56356,486,2746,0,0.8
YNL138W,SRV2,57521,526,7357,0.007967,2.6
YNL138W-A,YSF3,10027,85,,,
YNL139C,RLR1,183929,1597,907,0.00806,0.7
YNL140C,,21678,189,1336,0.000891,0.5
YNL141W,AAH1,39635,347,17367,0.008453,1.7
YNL142W,MEP2,53400,499,1229,0.000891,0.4
YNL143C,,15319,130,200,0.018734,0.7
YNL144C,,84202,740,0,,0.5
YNL144W-A,,3053,27,,,
YNL145W,MFA2,4229,38,0,,48.8
YNL146C-A,,7681,64,,,
YNL146W,,11887,100,1284,0.000891,0.4
YNL147W,LSM7,12066,107,2580,0,2.4
YNL148C,ALF1,28353,254,551,0.346574,0.8
YNL149C,PGA2,15053,129,21908,0.000891,6.4
YNL150W,,14844,135,4330,0.000891,1.3
YNL151C,RPC31,27724,251,0,,2.9
YNL152W,,46225,409,2140,0.02666,0.6
YNL153C,GIM3,15180,129,6279,0,5.4
YNL154C,YCK2,62079,546,5176,0.038508,1.7
YNL155W,,31516,274,3593,0.008887,1.5
YNL156C,NSG2,33666,299,2847,0.014748,2
YNL157W,,18051,168,13936,,4
YNL158W,PGA1,22383,198,5830,0.014146,0.9
YNL159C,ASI2,32985,289,0,,1
YNL160W,YGP1,37328,354,0,,12.4
YNL161W,CBK1,86946,756,515,0.02236,0.6
YNL162W,RPL42A,12212,106,11460,0,31.3
YNL162W-A,,8264,72,332,0.040773,
YNL163C,RIA1,124462,1110,6528,0.346574,0.7
YNL164C,IBD2,40016,351,2075,0.000891,0.6
YNL165W,,46177,406,2770,0.000891,0.8
YNL166C,BNI5,49694,448,3558,0.000891,1
YNL167C,SKO1,70191,647,697,0.038508,0.7
YNL168C,,28792,259,2141,0.001561,1.2
YNL169C,PSD1,56594,500,910,0.043322,1.9
YNL170W,,14681,131,0,,0.4
YNL171C,,14643,122,0,,0.2
YNL172W,APC1,196142,1748,170,0.02236,0.6
YNL173C,MDG1,40278,366,1067,0.017329,1
YNL174W,,20959,190,0,,0.5
YNL175C,NOP13,45667,403,3217,0.008887,2.7
YNL176C,,67356,636,1681,0.000891,0.5
YNL177C,MRPL22,34931,309,1520,0.00459,1.2
YNL178W,RPS3,26503,240,148332,0,56.5
YNL179C,,17611,145,0,,0.3
YNL180C,RHO5,36818,331,1832,0.023902,1.5
YNL181W,,46529,407,11684,0.000232,1.4
YNL182C,IPI3,61772,555,0,,0.7
YNL183C,NPR1,85989,790,4030,0.099021,0.3
YNL184C,,12469,108,523,0.007296,0.4
YNL185C,MRPL19,16670,158,2682,0.004101,0.7
YNL186W,UBP10,88516,792,6865,,2
YNL187W,,40307,357,918,,0.3
YNL188W,KAR1,50653,433,0,,0.6
YNL189W,SRP1,60441,542,2344,0.017773,1.7
YNL190W,,21966,204,1157,0.040773,5.7
YNL191W,DUG3,40180,357,6135,0.013078,0.8
YNL192W,CHS1,129918,1131,0,,1.5
YNL193W,,63903,558,0,,0.5
YNL194C,,34081,301,668,0.000891,0.2
YNL195C,,28321,261,0,,0.2
YNL196C,,34318,298,,,
YNL197C,WHI3,71253,661,4811,0.031507,0.6
YNL198C,,11775,100,1479,0.000891,0.4
YNL199C,GCR2,58062,534,0,,0.8
YNL200C,,27521,246,1157,0.004916,1.2
YNL201C,PSY2,98052,858,5890,0.005059,0.4
YNL202W,SPS19,31109,292,0,,0.7
YNL203C,,22418,203,0,,0.3
YNL204C,SPS18,34240,300,0,,0.2
YNL205C,,16673,140,0,,0.6
YNL206C,RTT106,51621,455,9362,0,1.1
YNL207W,RIO2,49124,425,8692,0.011363,0.9
YNL208W,,20151,199,0,,12.7
YNL209W,SSB2,66594,613,161683,0.000974,22.5
YNL210W,MER1,31111,270,0,,0.2
YNL211C,,10648,86,3193,,0.9
YNL212W,VID27,88845,782,2938,0.031507,0.9
YNL213C,,25274,214,970,0.01118,0.5
YNL214W,PEX17,23169,199,551,0.000891,0.5
YNL215W,IES2,36154,320,997,0.002467,0.8
YNL216W,RAP1,92412,827,4979,0.016504,1
YNL217W,,37151,326,5806,,1.7
YNL218W,MGS1,66543,587,3452,0.031507,0.4
YNL219C,ALG9,63776,555,4154,0.000891,1.2
YNL220W,ADE12,48279,433,47706,0.01216,3.1
YNL221C,POP1,100394,875,506,0.000891,1.3
YNL222W,SSU72,23469,206,0,,1.3
YNL223W,ATG4,55142,494,2774,0.018241,0.4
YNL224C,SQS1,86949,767,833,0.02236,0.3
YNL225C,CNM67,67400,581,2257,0.023902,0.7
YNL226W,,16040,136,,,
YNL227C,JJJ1,68782,590,1943,0.019804,0.5
YNL228W,,28641,258,0,,0.2
YNL229C,URE2,40271,354,5931,0.017773,1.8
YNL230C,ELA1,43981,379,685,0.053319,0.2
YNL231C,PDR16,40714,351,12903,0.010046,2.5
YNL232W,CSL4,31583,292,4660,0.013078,2.4
YNL233W,BNI4,100589,892,2123,,0.6
YNL234W,,47822,426,164,0.027726,0.6
YNL235C,,16153,143,0,,0.4
YNL236W,SIN4,111296,974,1445,0,0.9
YNL237W,YTP1,51644,459,0,,0.2
YNL238W,KEX2,90002,814,3116,,0.9
YNL239W,LAP3,52088,454,438,0.034657,1.4
YNL240C,NAR1,54151,491,0,,1
YNL241C,ZWF1,57521,505,9134,0,1.1
YNL242W,ATG2,178412,1592,454,0.001208,0.2
YNL243W,SLA2,108995,968,18574,0.001444,1.2
YNL244C,SUI1,12312,108,58596,0.000891,15.8
YNL245C,CWC25,20374,179,723,0.086643,0.5
YNL246W,VPS75,30615,264,2617,0,1.2
YNL247W,,87530,767,19293,0.017773,2.3
YNL248C,RPA49,46650,415,10142,,2.9
YNL249C,MPA43,61667,542,886,0.007702,0.4
YNL250W,RAD50,152568,1312,959,0,0.3
YNL251C,NRD1,63858,575,16430,0.013078,0.6
YNL252C,MRPL17,32212,281,6237,0.01612,1.2
YNL253W,TEX1,47166,422,0,,0.6
YNL254C,,46211,401,672,0.049511,0.5
YNL255C,GIS2,17103,153,81190,0.005134,8.1
YNL256W,FOL1,93119,824,3855,0.053319,0.6
YNL257C,SIP3,142818,1229,8830,0.000891,0.6
YNL258C,DSL1,88071,754,4306,0.023902,0.8
YNL259C,ATX1,8221,73,15529,0.017773,4.5
YNL260C,,23328,198,658,0,0.3
YNL261W,ORC5,55289,479,645,0.020387,0.7
YNL262W,POL2,255669,2222,1657,0.003648,1.2
YNL263C,YIF1,35498,314,0,,2
YNL264C,PDR17,40677,350,4234,0.01333,1.6
YNL265C,IST1,34495,298,3999,0.005023,1
YNL266W,,15510,139,0,,0.8
YNL267W,PIK1,119922,1066,1347,0,0.7
YNL268W,LYP1,68089,611,2170,0.033007,3.3
YNL269W,BSC4,15314,131,0,,0.7
YNL270C,ALP1,64013,573,0,,0.2
YNL271C,BNI1,219701,1953,140,0.008774,0.8
YNL272C,SEC2,84651,759,15370,0.015068,0.5
YNL273W,TOF1,141119,1238,482,0.00673,0.4
YNL274C,GOR1,38831,350,2756,0.013863,1.1
YNL275W,BOR1,65027,576,164,0.115525,0.3
YNL276C,,14116,131,0,,0.4
YNL277W,MET2,53659,486,1883,0.030137,0.3
YNL277W-A,,7208,62,,,
YNL278W,CAF120,118279,1060,2027,0.346574,0.5
YNL279W,PRM1,73352,661,1057,,0.3
YNL280C,ERG24,50615,438,1342,0.00318,1.3
YNL281W,HCH1,17246,153,6468,0,4.5
YNL282W,POP3,22612,195,1146,0.013591,0.6
YNL283C,WSC2,52292,503,4833,,1.4
YNL284C,MRPL10,36347,322,4492,0.006359,1.2
YNL285W,,14073,123,0,,0.2
YNL286W,CUS2,32284,285,1146,0.231049,0.5
YNL287W,SEC21,104830,935,35219,0.018734,1.4
YNL288W,CAF40,41155,373,15807,0.000891,1.5
YNL289W,PCL1,32095,279,509,0.231049,0.6
YNL290W,RFC3,38203,340,2635,0.012836,0.8
YNL291C,MID1,61574,548,2475,0.069315,1
YNL292W,PUS4,45273,403,3352,0.010664,0.9
YNL293W,MSB3,72999,633,149,0.030137,0.5
YNL294C,RIM21,61532,533,0,,1
YNL295W,,61228,524,423,0.04621,0.3
YNL296W,,11442,104,0,,0.4
YNL297C,MON2,186834,1636,1379,0.031507,0.6
YNL298W,CLA4,93908,842,280,0.006601,0.4
YNL299W,TRF5,74179,642,1883,0.019804,0.4
YNL300W,,10170,102,1247,0,4.8
YNL301C,RPL18B,20563,186,53514,0,27
YNL302C,RPS19B,15891,144,2892,0,46.6
YNL303W,,13562,115,109495,0.000891,1.5
YNL304W,YPT11,47116,417,2392,0.028881,0.5
YNL305C,,33645,297,10580,0.000891,3.1
YNL306W,MRPS18,24563,217,4455,0.000891,2.5
YNL307C,MCK1,43136,375,332,0.000891,2.4
YNL308C,KRI1,68653,591,1499,0.02236,3.4
YNL309W,STB1,45683,420,268,0.010046,0.2
YNL310C,ZIM17,19855,174,1281,0.006863,1
YNL311C,,88941,763,363,0.049511,0.5
YNL312W,RFA2,29936,273,5109,0.005545,2
YNL313C,,102335,904,4510,0.014748,1
YNL314W,DAL82,29079,255,0,,0.5
YNL315C,ATP11,36851,318,2382,0.01083,1.9
YNL316C,PHA2,38225,334,1699,0.013078,0.7
YNL317W,PFS2,53143,465,6558,0.018241,0.4
YNL318C,HXT14,60978,540,0,,0.4
YNL319W,,16051,146,0,,0.2
YNL320W,,32308,284,217,0.030137,1.1
YNL321W,,102498,908,217,0.000891,0.7
YNL322C,KRE1,32158,313,523,0.049511,3.9
YNL323W,LEM3,47437,414,2067,0.040773,0.7
YNL324W,,14855,131,0,,0.3
YNL325C,FIG4,101745,879,285,0.038508,0.3
YNL326C,PFA3,39183,336,1791,0.021004,0.7
YNL327W,EGT2,108494,1041,20883,0.000891,6.1
YNL328C,MDJ2,16474,146,481,0.000891,0.4
YNL329C,PEX6,115570,1030,1369,0.015753,0.5
YNL330C,RPD3,48904,433,3234,0.000593,1.3
YNL331C,AAD14,41991,376,0,,0.9
YNL332W,THI12,38619,340,0,,0.3
YNL333W,SNZ2,32033,298,0,,0.8
YNL334C,SNO2,25208,222,2805,0.000891,0.8
YNL335W,,25152,225,0,,8.7
YNL336W,COS1,45288,381,1456,0.011951,3.6
YNL337W,,9700,84,0,,0.3
YNL338W,,5951,52,0,,0.3
YNL339C,YRF1-6,211097,1859,0,,4.1
YNL339W-A,,17367,191,,,
YNL339W-B,,18627,160,,,
YNR001C,CIT1,53360,479,16062,0.000891,4.7
YNR001W-A,,8278,72,,,
YNR002C,ATO2,30701,282,2223,0.000891,0.6
YNR003C,RPC34,36135,317,0,,1.1
YNR003W-A,,3413,32,,,
YNR004W,,17096,146,1445,0,0.4
YNR005C,,14726,134,0,,1.2
YNR006W,VPS27,70973,622,145,0.099021,0.6
YNR007C,ATG3,35887,310,3034,0.000891,0.5
YNR008W,LRO1,75393,661,337,0.000891,0.6
YNR009W,NRM1,27564,249,2420,0.036481,1.1
YNR010W,CSE2,17376,149,1146,0.023105,0.7
YNR011C,PRP2,99813,876,145,0.099021,0.7
YNR012W,URK1,56296,501,2598,,0.8
YNR013C,PHO91,99489,894,3593,0.018734,1.2
YNR014W,,23076,212,1983,0.006359,0.8
YNR015W,SMM1,42816,384,2229,0.007001,1.6
YNR016C,ACC1,250351,2233,11387,0.002975,2.7
YNR017W,MAS6,23243,222,1214,0.000891,1.7
YNR018W,,25344,224,10118,0,5.3
YNR019W,ARE2,74022,642,235,0.000891,0.5
YNR020C,ATP23,32226,270,0,,1.1
YNR021W,,47093,404,29321,0.028881,4
YNR022C,MRPL50,16283,139,6563,0.000891,1.9
YNR023W,SNF12,63870,566,1179,0.000891,0.3
YNR024W,,21142,186,1134,0.346574,2
YNR025C,,13725,119,0,,1.1
YNR026C,SEC12,51607,471,5176,0.011363,1
YNR027W,BUD17,35366,317,5530,0.002962,1.1
YNR028W,CPR8,34946,308,3322,0.000891,1
YNR029C,,48121,429,1314,0.017329,0.9
YNR030W,ALG12,62672,551,2985,0.011748,1.2
YNR031C,SSK2,180526,1579,182,0.000891,0.7
YNR032C-A,HUB1,8272,73,,,
YNR032W,PPG1,42433,368,1647,0.017773,0.5
YNR033W,ABZ1,88543,787,2429,0.024755,0.9
YNR034W,SOL1,35652,321,1657,0.018734,0.8
YNR034W-A,,10781,98,2373,0,
YNR035C,ARC35,39566,342,11261,0.01612,3.8
YNR036C,,16917,153,200,0.053319,4.8
YNR037C,RSM19,10275,91,6083,0.000891,1.8
YNR038W,DBP6,70361,629,6443,0.009367,0.9
YNR039C,ZRG17,67460,605,2783,0.017773,0.8
YNR040W,,28636,256,958,0.015753,0.9
YNR041C,COQ2,41001,372,3453,0.000891,1
YNR042W,,15316,142,0,,0.7
YNR043W,MVD1,44115,396,10064,0.010664,3.6
YNR044W,AGA1,73353,725,12200,0.000891,1.1
YNR045W,PET494,57487,489,378,0.010193,0.7
YNR046W,TRM112,15066,135,4034,0.019254,2.3
YNR047W,,100546,893,632,0.00235,0.5
YNR048W,,44542,393,3785,0.023105,0.5
YNR049C,MSO1,23351,210,1157,0.017773,1
YNR050C,LYS9,48917,446,22915,0.000891,8.5
YNR051C,BRE5,57674,515,9809,0.038508,0.7
YNR052C,POP2,49682,433,1281,0.014441,1
YNR053C,NOG2,55488,486,56851,0.001819,2.8
YNR054C,ESF2,36408,316,10770,0.007374,1
YNR055C,HOL1,65348,586,4671,0.000891,1.4
YNR056C,BIO5,62427,561,973,0.000891,0.3
YNR057C,BIO4,26257,237,0,,1
YNR058W,BIO3,53708,480,0,,0.4
YNR059W,MNT4,68081,580,0,,0.7
YNR060W,FRE4,82015,719,0,,0.3
YNR061C,,24317,219,285,0.099021,1.6
YNR062C,,35658,327,1555,0.000891,0.3
YNR063W,,69662,607,0,,0.5
YNR064C,,32756,290,0,,0.4
YNR065C,,125199,1116,540,0.000891,0.7
YNR066C,,49654,436,0,,0.7
YNR067C,DSE4,121063,1117,54,0.000891,1.4
YNR068C,,31219,272,0,,0.7
YNR069C,BSC5,54831,489,0,,0.6
YNR070W,,149749,1333,1411,0.000891,1.2
YNR071C,,37852,342,0,,0.5
YNR072W,HXT17,62828,564,0,,0.4
YNR073C,,56470,502,0,,0.3
YNR074C,AIF1,41335,378,1314,0.014146,0.7
YNR075C-A,,3367,30,,,
YNR075W,COS10,43866,374,1993,0.001265,0.3
YNR076W,PAU6,12905,120,0,,2
YNR077C,,9740,84,0,,0.1
YOL001W,PHO80,33226,293,1258,0.003332,0.4
YOL002C,IZH2,36278,317,0,,2.6
YOL003C,PFA4,44488,378,0,,0.3
YOL004W,SIN3,174838,1536,1396,0.040773,1
YOL005C,RPB11,13615,120,3593,0,4.2
YOL006C,TOP1,89995,769,2496,0.019804,0.6
YOL007C,CSI2,37256,341,2252,0.000891,0.7
YOL008W,COQ10,23765,207,0,,0.6
YOL009C,MDM12,30728,271,898,0.028881,0.9
YOL010W,RCL1,40170,367,8405,0.015068,1.2
YOL011W,PLB3,75076,686,1965,,0.6
YOL012C,HTZ1,14283,134,3882,0.002656,2.5
YOL013C,HRD1,63534,551,2238,0.015403,0.4
YOL013W-A,,7021,63,,,
YOL013W-B,,11126,96,,,
YOL014W,,13917,124,0,,5.8
YOL015W,,67689,586,1048,0.000891,0.4
YOL016C,CMK2,50447,447,6299,0,7.1
YOL017W,ESC8,82188,714,363,0.023105,0.2
YOL018C,TLG2,45875,397,0,0,0.6
YOL019W,,60900,551,2664,0.009495,0.8
YOL019W-A,,5710,50,,,
YOL020W,TAT2,65404,592,632,0.02666,1.4
YOL021C,DIS3,113706,1001,509,0.025672,1.3
YOL022C,,45993,408,3631,0.015753,1.7
YOL023W,IFM1,75656,676,1180,0.063013,0.4
YOL024W,,20110,172,0,,0.5
YOL025W,LAG2,75638,660,164,0.019254,0.3
YOL026C,MIM1,12757,113,0,,3.4
YOL027C,MDM38,65005,573,6206,0.01612,1.3
YOL028C,YAP7,27387,245,1424,0.038508,0.3
YOL029C,,22429,201,0,,0.7
YOL030W,GAS5,51869,484,9809,0.063013,4.5
YOL031C,SIL1,48274,421,2033,0.00089,0.9
YOL032W,OPI10,27166,246,1605,0,1.9
YOL033W,MSE1,61603,536,2467,0.006418,0.5
YOL034W,SMC5,126036,1093,749,0.00153,0.9
YOL035C,,11676,100,0,,1
YOL036W,,84351,761,0,,0.9
YOL037C,,13253,117,0,,0.8
YOL038C-A,,3621,31,,,
YOL038W,PRE6,28439,254,14080,0,6.8
YOL039W,RPP2A,10746,106,228658,0.004359,44.8
YOL040C,RPS15,16002,142,358382,0,40.8
YOL041C,NOP12,51941,459,4964,0.019804,1.8
YOL042W,NGL1,42398,363,2920,0.014748,0.7
YOL043C,NTG2,43844,380,105,0,1
YOL044W,PEX15,43676,383,898,0.004847,0.9
YOL045W,PSK2,124371,1101,1863,0.015403,0.4
YOL046C,,24106,224,1499,0.000891,0.5
YOL047C,,40878,356,130,0.019804,0.2
YOL048C,,39600,342,4945,,1.4
YOL049W,GSH2,55815,491,2883,0.009242,1.6
YOL050C,,11284,106,0,,0.9
YOL051W,GAL11,120308,1081,509,0.231049,1.5
YOL052C,SPE2,46232,396,5931,0.006245,1.3
YOL052C-A,DDR2,5955,61,658,0,1.3
YOL053W,,45850,395,0,,0.5
YOL054W,,47068,406,5451,0.012836,0.5
YOL055C,THI20,61269,551,164,0.013863,0.5
YOL056W,GPM3,34863,303,3134,0,0.7
YOL057W,,80510,711,2737,0.012378,1.1
YOL058W,ARG1,46939,420,1573,0.005134,2.1
YOL059W,GPD2,49421,440,7531,0.005975,1.7
YOL060C,MAM3,77711,706,4945,0.086643,0.7
YOL061W,PRS5,53504,496,2205,0.00559,4
YOL062C,APM4,55387,491,2865,0.346574,1.2
YOL063C,CRT10,109714,957,105,0.000891,0.4
YOL064C,MET22,39149,357,6155,0.02236,1.9
YOL065C,INP54,43799,384,1162,0.049511,0.4
YOL066C,RIB2,67035,591,981,0.016504,0.4
YOL067C,RTG1,19016,177,1842,0.021661,0.3
YOL068C,HST1,57702,503,1214,0.012378,1.6
YOL069W,NUF2,52973,451,1303,0.00608,0.4
YOL070C,,55923,501,1358,0.013078,0.9
YOL071W,EMI5,19042,162,910,0.011748,1.7
YOL072W,THP1,52678,455,958,0.010502,0.6
YOL073C,,35762,322,0,,1.2
YOL075C,,145156,1294,12624,0.000891,0.5
YOL076W,MDM20,92808,796,2549,0.004987,0.4
YOL077C,BRX1,33577,291,11089,0.004077,3.9
YOL077W-A,ATP19,7534,68,1111,0.000891,
YOL078W,AVO1,131378,1176,646,0.063013,0.7
YOL079W,,15097,132,0,,0.7
YOL080C,REX4,32895,289,3593,0.007146,0.8
YOL081W,IRA2,351665,3079,4159,0.053319,0.7
YOL082W,ATG19,47599,415,1053,0.016906,0.8
YOL083C-A,,5633,46,,,
YOL083W,,46655,412,0,,0.8
YOL084W,PHM7,112545,991,371,0.000891,0.1
YOL085C,,12781,113,0,,0.7
YOL085W-A,,8037,70,,,
YOL086C,ADH1,36849,348,648807,0.000891,44.1
YOL086W-A,,10549,90,,,
YOL087C,,125381,1116,360,0,0.6
YOL088C,MPD2,32401,277,1281,0.019804,1.4
YOL089C,HAL9,117925,1030,200,0.000891,0.5
YOL090W,MSH2,108883,964,1030,0.021661,0.6
YOL091W,SPO21,69878,609,0,,0.5
YOL092W,,34872,308,1510,0.053319,3.4
YOL093W,TRM10,34520,293,3438,0,1.2
YOL094C,RFC4,36149,323,2315,0,1.1
YOL095C,HMI1,80575,706,9224,0.000891,0.3
YOL096C,COQ3,36331,312,217,0.231049,0.6
YOL097C,WRS1,49350,432,10186,0.00453,7.4
YOL097W-A,,7032,61,,,
YOL098C,,118391,1037,6822,0.028881,1.4
YOL099C,,18363,163,0,,0.9
YOL100W,PKH2,121659,1081,1130,,0.3
YOL101C,IZH4,36607,312,5166,0.036481,1.5
YOL102C,TPT1,26196,230,565,0.006189,2
YOL103W,ITR2,66710,609,393,0.009763,1.5
YOL104C,NDJ1,40856,352,674,,0.2
YOL105C,WSC3,58229,556,5644,0.016906,0.5
YOL106W,,13442,117,0,,0.5
YOL107W,,39742,342,1369,0.021661,0.5
YOL108C,INO4,17378,151,438,0.016504,1.1
YOL109W,ZEO1,12589,113,50893,0,39.4
YOL110W,SHR5,26541,237,787,0.034657,0.8
YOL111C,MDY2,23732,212,5470,0.003938,1.6
YOL112W,MSB4,57092,492,1456,0.024755,0.8
YOL113W,SKM1,75331,655,2018,0.033007,0.4
YOL114C,,23190,202,0,,0.4
YOL115W,PAP2,66030,584,4683,0.01612,0.6
YOL116W,MSN1,43060,382,412,0.077016,0.4
YOL117W,RRI2,76388,645,1111,0.013591,0.4
YOL118C,,12270,102,0,,1.1
YOL119C,MCH4,54706,501,4951,0.000891,0.6
YOL120C,RPL18A,20563,186,155914,0,45.2
YOL121C,RPS19A,15917,144,88776,0,48.1
YOL122C,SMF1,63263,575,0,,1.2
YOL123W,HRP1,59650,534,6844,0.000891,2
YOL124C,TRM11,50072,433,1699,0.013863,1.7
YOL125W,TRM13,54095,476,5177,0.011363,0.5
YOL126C,MDH2,40730,377,4418,0.002841,1.2
YOL127W,RPL25,15757,142,69004,0,37.1
YOL128C,YGK3,43205,375,0,,0.4
YOL129W,VPS68,20101,184,1594,0,6.5
YOL130W,ALR1,95868,859,3238,,0.9
YOL131W,,12423,108,0,,0.1
YOL132W,GAS4,53812,471,0,,0.2
YOL133W,HRT1,13940,121,0,,2
YOL134C,,14393,129,1198,0.000891,0.3
YOL135C,MED7,25585,222,6382,0.018734,0.5
YOL136C,PFK27,45317,397,3570,,1
YOL137W,BSC6,55084,497,348,0.005373,0.4
YOL138C,,149268,1341,1023,0.000891,0.4
YOL139C,CDC33,24254,213,109667,0,12.3
YOL140W,ARG8,46681,423,1200,0.008557,0.6
YOL141W,PPM2,78974,695,698,0.030137,0.3
YOL142W,RRP40,26590,240,5080,0.002864,1.3
YOL143C,RIB4,18555,169,2737,0.011363,6.3
YOL144W,NOP8,56965,484,1822,0.002586,0.5
YOL145C,CTR9,124654,1077,5654,0.028881,0.5
YOL146W,PSF3,21952,194,1852,0.036481,1
YOL147C,PEX11,26875,236,1369,0.000891,1.9
YOL148C,SPT20,67796,604,3489,0.027726,0.8
YOL149W,DCP1,26266,231,2420,0.030137,1.8
YOL150C,,11783,103,3108,0.000891,0.9
YOL151W,GRE2,38169,342,4585,0.007702,5.2
YOL152W,FRE7,70905,620,0,,0.2
YOL154W,ZPS1,27567,249,6229,0,1.8
YOL155C,HPF1,94704,967,2712,0.000891,0.6
YOL155W-A,,5203,44,,,
YOL156W,HXT11,62732,567,0,,0.1
YOL157C,,68624,589,4164,0.000891,0.3
YOL158C,ENB1,66969,606,0,,2.6
YOL159C,,19573,171,0,,0.8
YOL159C-A,,10933,90,105,0.346574,
YOL160W,,13497,113,0,,0.1
YOL161C,,12877,120,0,,1.7
YOL162W,,24483,215,0,,0.3
YOL163W,,19462,169,0,,0.3
YOL164W,BDS1,72645,646,0,,0.6
YOL164W-A,,6999,60,,,
YOL165C,AAD15,15722,143,0,,0.7
YOL166C,,12936,112,0,,0.2
YOL166W-A,,5952,51,,,
YOR001W,RRP6,84038,733,1888,0.036481,1.7
YOR002W,ALG6,62782,544,3843,0.000891,1.1
YOR003W,YSP3,52089,478,0,,0.2
YOR004W,UTP23,28801,254,5850,0,5
YOR005C,DNL4,108514,944,1842,0.000891,0.3
YOR006C,,35686,313,3034,0.011951,0.8
YOR007C,SGT2,37218,346,7202,0.000447,10.9
YOR008C,SLG1,39270,378,558,0.027726,1.2
YOR008C-A,,8604,74,0,,0.8
YOR008W-B,,3813,33,,,
YOR009W,TIR4,47848,487,0,,1.9
YOR010C,TIR2,24628,251,0,,5.1
YOR011W,AUS1,157750,1394,9283,0.000891,0.4
YOR011W-A,,8638,68,,,
YOR012W,,15482,137,0,,0.5
YOR013W,,17881,156,0,,0.7
YOR014W,RTS1,85334,757,252,0.038508,0.8
YOR015W,,13873,119,0,,1.7
YOR016C,ERP4,23515,207,2277,0.001144,1.4
YOR017W,PET127,93407,800,1456,0.036481,0.7
YOR018W,ROD1,92348,837,324,0.043322,0.5
YOR019W,,83365,730,0,,0.4
YOR020C,HSP10,11372,106,9415,0,9.8
YOR020W-A,,9618,90,,,
YOR021C,,24743,213,2117,0.005373,4.4
YOR022C,,81769,715,619,0.014441,0.5
YOR023C,AHC1,63868,566,285,0.028881,0.9
YOR024W,,11872,107,0,,0.1
YOR025W,HST3,50523,447,268,0.231049,0.4
YOR026W,BUB3,38444,341,1202,0.031507,0.6
YOR027W,STI1,66264,589,34137,0.007788,4.5
YOR028C,CIN5,32975,295,3387,0.000891,1
YOR029W,,12921,111,0,,0.5
YOR030W,DFG16,71729,619,0,,0.4
YOR031W,CRS5,7192,68,0,,1
YOR032C,HMS1,48871,434,0,,0.1
YOR032W-A,,7709,66,,,
YOR033C,EXO1,80162,702,565,0.346574,0.5
YOR034C,AKR2,85235,749,685,0.04621,0.5
YOR034C-A,,9778,80,,,
YOR035C,SHE4,89552,789,2865,0.018241,0.4
YOR036W,PEP12,33006,288,0,,1.4
YOR037W,CYC2,42368,366,2296,0.004715,0.3
YOR038C,HIR2,98444,875,2563,0.023902,0.4
YOR039W,CKB2,29842,258,6012,0,2
YOR040W,GLO4,32339,285,946,0.002751,0.3
YOR041C,,15182,143,0,,0.4
YOR042W,CUE5,46869,411,523,0.231049,0.9
